"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Summers County, WV"	"54089"	"2007"	"2007"	152	13842	1098.1
	"Summers County, WV"	"54089"	"2008"	"2008"	198	13712	1444.0
	"Summers County, WV"	"54089"	"2009"	"2009"	159	13882	1145.4
	"Summers County, WV"	"54089"	"2010"	"2010"	206	13927	1479.1
	"Summers County, WV"	"54089"	"2011"	"2011"	207	13867	1492.8
	"Summers County, WV"	"54089"	"2012"	"2012"	171	13737	1244.8
"Total"	"Summers County, WV"	"54089"			1239	96846	1279.4
	"Taylor County, WV"	"54091"	"2006"	"2006"	164	16498	994.1
	"Taylor County, WV"	"54091"	"2007"	"2007"	171	16640	1027.6
	"Taylor County, WV"	"54091"	"2008"	"2008"	195	16792	1161.3
	"Taylor County, WV"	"54091"	"2009"	"2009"	180	16838	1069.0
	"Taylor County, WV"	"54091"	"2010"	"2010"	199	16895	1177.9
	"Taylor County, WV"	"54091"	"2011"	"2011"	203	16916	1200.0
	"Taylor County, WV"	"54091"	"2012"	"2012"	179	16991	1053.5
"Total"	"Taylor County, WV"	"54091"			1291	117570	1098.1
	"Tucker County, WV"	"54093"	"2006"	"2006"	78	7111	1096.9
	"Tucker County, WV"	"54093"	"2007"	"2007"	87	7117	1222.4
	"Tucker County, WV"	"54093"	"2008"	"2008"	83	7160	1159.2
	"Tucker County, WV"	"54093"	"2009"	"2009"	107	7172	1491.9
	"Tucker County, WV"	"54093"	"2010"	"2010"	94	7141	1316.3
	"Tucker County, WV"	"54093"	"2011"	"2011"	91	7021	1296.1
	"Tucker County, WV"	"54093"	"2012"	"2012"	88	6995	1258.0
"Total"	"Tucker County, WV"	"54093"			628	49717	1263.1
	"Tyler County, WV"	"54095"	"2006"	"2006"	106	9484	1117.7
